column,null_pct,unique_count,suppressed_count,inferred_type
BusinessYear,0.0,1,0,numeric
StateCode,0.0,30,0,categorical
IssuerId,0.0,359,0,numeric
SourceName,0.0,2,0,categorical
ImportDate,0.0,22,0,categorical
ServiceAreaId,0.0,264,0,text/identifier
ServiceAreaName,0.0,535,0,numeric
CoverEntireState,0.0,2,0,categorical
County,2.86,1929,0,numeric
PartialCounty,2.86,2,0,categorical
ZipCodes,99.74,18,0,categorical
PartialCountyJustification,99.74,15,0,categorical
MarketCoverage,0.0,2,0,categorical
DentalOnlyPlan,0.0,2,0,categorical
